,perc_error_2020-08-17_2021-01-02,perc_error_2020-08-24_2021-01-02,perc_error_2020-08-31_2021-01-02,perc_error_2020-09-07_2021-01-02,perc_error_2020-09-14_2021-01-02,perc_error_2020-09-21_2021-01-02,perc_error_2020-09-28_2021-01-02,perc_error_2020-10-05_2021-01-02,perc_error_2020-10-12_2021-01-02,perc_error_2020-10-19_2021-01-02,perc_error_2020-10-26_2021-01-02,perc_error_2020-11-02_2021-01-02,perc_error_2020-11-09_2021-01-02,perc_error_2020-11-16_2021-01-02,perc_error_2020-11-23_2021-01-02,perc_error_2020-11-30_2021-01-02,perc_error_2020-12-07_2021-01-02,perc_error_2020-12-14_2021-01-02,perc_error_2020-12-21_2021-01-02,perc_error_2020-12-28_2021-01-02
QJHong-Encounter,,,,,,,,,,,,,-0.278,-0.050,0.037,-0.053,-0.086,0.004,0.085,0.185
JCB-PRM,,,,,,,,,,,,,-0.402,-0.115,0.012,-0.056,0.006,0.094,0.209,0.066
CovidAnalytics-DELPHI,,,,,,,,,,,,,,-0.313,-0.097,-0.189,-0.193,0.031,-0.034,-0.165
Karlen-pypm,,,,,,,,,,,,,,,,-0.044,0.034,0.066,0.122,0.019
PSI-DRAFT,,,,,,,,,,,,,,,-0.091,-0.454,-0.109,0.341,-0.015,-0.062
GT-DeepCOVID,,,,,,,,,,,,,,,,,-0.051,-0.023,0.057,0.025
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,0.014,0.048,0.114,-0.040
JHUAPL-Bucky,,,,,,,,,-0.647,,,,-0.339,0.482,0.155,-0.194,-0.114,-0.126,0.071,-0.393
UMass-MechBayes,,,,,,,,,,,,,,,,,-0.013,0.062,0.008,-0.170
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,0.026,0.054,0.126,-0.065
Columbia_UNC-SurvCon,,,,,,,,,,,,,0.408,0.325,0.218,-0.272,-0.123,0.087,0.223,0.127
COVIDhub-baseline,,,,,,,,,,,,,-0.561,-0.519,-0.379,-0.429,-0.162,-0.085,0.035,-0.167
IBF-TimeSeries,,,,,,,,,,,,,-0.401,-0.332,-0.195,-0.282,-0.029,0.134,0.251,0.257
Baseline,-0.242,-0.291,-0.354,-0.404,-0.499,-0.485,-0.520,-0.565,-0.577,-0.609,-0.580,-0.590,-0.560,-0.514,-0.367,-0.441,-0.162,-0.094,0.009,-0.242
Caltech-CS156,,,,,,,,,,,,,,,,,-0.120,-0.047,0.053,-0.110
OliverWyman-Navigator,,,,,,,,,,,,,,,,,-0.076,0.062,0.110,-0.098
COVIDhub-ensemble,,,,,,,,,,,,,,,,,-0.096,0.054,0.119,-0.072
USC-SI_kJalpha,,,,,,,,,,,,,-0.398,,,,-0.101,0.051,0.176,-0.028
IHME-CurveFit,,0.186,0.196,0.338,,0.159,0.120,,,-0.270,-0.267,,,,-0.130,,-0.029,-0.290,0.137,0.199
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,-0.080,0.049,0.197,-0.086
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,0.048,0.087,0.150,-0.119
UCLA-SuEIR,,,,,,,-0.728,-0.679,-0.670,-0.678,-0.693,-0.620,-0.514,-0.450,-0.311,-0.486,-0.125,-0.157,0.001,-0.318
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,-0.096,0.136,0.127,-0.002
